lat,lon,depth,strike,dip
-29.95,-72.35000000000002,10.248013,5.0298066,7.788008
-29.95,-72.30000000000001,10.931264,5.1353297,8.4415
-29.95,-72.25,11.671952,5.2410383,9.134503
-29.95,-72.19999999999999,12.473772,5.3452034,9.8694315
-29.95,-72.14999999999998,13.340679,5.4463925,10.648302
-29.95,-72.10000000000002,14.276858,5.543511,11.47236
-29.95,-72.05000000000001,15.28665,5.635822,12.341689
-29.95,-72.0,16.37445,5.7229514,13.254842
-29.95,-71.94999999999999,17.54458,5.8048654,14.208519
-29.95,-71.89999999999998,18.801111,5.8818245,15.197347
-29.95,-71.85000000000002,20.147682,5.954324,16.213768
-29.95,-71.80000000000001,21.587294,6.0230265,17.248093
-29.95,-71.75,23.122095,6.088694,18.28868
-29.95,-71.69999999999999,24.75319,6.1521273,19.322289
-29.95,-71.64999999999998,26.480446,6.2141204,20.334536
-29.95,-71.60000000000002,28.302347,6.2754273,21.310438
-29.95,-71.55000000000001,30.215885,6.33675,22.234985
-29.95,-71.5,32.2165,6.3987346,23.093714
-29.95,-71.44999999999999,34.298073,6.4619894,23.873205
-29.95,-71.39999999999998,36.45299,6.527111,24.561502
-29.95,-71.35000000000002,38.672256,6.5947247,25.148436
-29.95,-71.30000000000001,40.945652,6.6655297,25.625807
-29.95,-71.25,43.261948,6.7403626,25.987509
-29.95,-71.19999999999999,45.609158,6.8202567,26.229523
-29.95,-71.14999999999998,47.97479,6.906522,26.34988
-29.95,-71.10000000000002,50.346134,7.0008183,26.348553
-29.95,-71.05000000000001,52.710537,7.105249,26.22731
-29.95,-71.0,55.05565,7.222444,25.989576
-29.95,-70.94999999999999,57.369663,7.355659,25.640253
-29.95,-70.89999999999998,59.64151,7.508864,25.185545
-29.95,-70.85000000000002,61.86102,7.686838,24.632778
-29.95,-70.80000000000001,64.019035,7.8952546,23.990225
-29.95,-70.75,66.10751,8.140759,23.266914
-29.95,-70.69999999999999,68.11953,8.431039,22.472467
-29.95,-70.64999999999998,70.04934,8.774873,21.61692
-29.95,-70.60000000000002,71.8923,9.182178,20.710558
-29.95,-70.55000000000001,73.64489,9.664022,19.763775
-29.95,-70.5,75.30457,10.232632,18.786926
-29.95,-70.44999999999999,76.86981,10.901364,17.79021
-29.95,-70.39999999999998,78.33994,11.684654,16.783556
-29.95,-70.35000000000002,79.7151,12.59793,15.7765045
-29.95,-70.30000000000001,80.996155,13.657476,14.7781105
-29.95,-70.25,82.184586,14.880246,13.796842
-29.95,-70.19999999999999,83.28246,16.283604,12.840472
-29.95,-70.14999999999998,84.29233,17.884989,11.9159775
-29.95,-70.10000000000002,85.217125,19.7015,11.029437
-29.95,-70.05000000000001,86.06011,21.749428,10.185937
-29.95,-70.0,86.8248,24.043732,9.389499
-29.95,-69.94999999999999,87.51489,26.597563,8.643029
-29.95,-69.89999999999998,88.13416,29.42189,7.9483066
-29.95,-69.85000000000002,88.68645,32.525307,7.306025
-29.95,-69.80000000000001,89.17555,35.914143,6.715882
-29.95,-69.75,89.60518,39.59286,6.1767254
-29.95,-69.69999999999999,89.97895,43.564705,5.686753
-29.95,-69.64999999999998,90.300285,47.832348,5.243751
-29.95,-69.60000000000002,90.572464,52.398148,4.8453455
-29.95,-69.55000000000001,90.79857,57.2635,4.489239
-29.95,-69.5,90.98148,62.42677,4.173393
-29.95,-69.44999999999999,91.12395,67.87944,3.8961122
-29.95,-69.39999999999998,91.22854,73.6007,3.6560159
-29.95,-69.35000000000002,91.29773,79.55114,3.451864
-29.95,-69.30000000000001,91.33392,85.66769,3.2822664
-29.95,-69.25,91.33947,91.862144,3.145318
-29.95,-69.19999999999999,91.31672,98.02558,3.0382526
-29.95,-69.14999999999998,91.26808,104.03887,2.9572203
-29.95,-69.10000000000002,91.196,109.78694,2.8972588
-29.95,-69.05000000000001,91.103035,115.17257,2.8524778
-29.95,-69.0,90.99183,120.12555,2.8163917
-29.95,-68.94999999999999,90.86517,124.6057,2.7823157
-29.95,-68.89999999999998,90.725945,128.60025,2.7437294
-29.95,-68.85000000000002,90.57714,132.11787,2.6945584
-29.95,-68.80000000000001,90.421875,135.1816,2.6293526
-29.95,-68.75,90.26333,137.82205,2.5433726
-29.95,-68.69999999999999,90.10477,140.0718,2.4326062
-29.95,-68.64999999999998,89.94949,141.9603,2.2937412
-29.95,-68.60000000000002,89.800865,143.50905,2.124119
-29.95,-68.55000000000001,89.66224,144.72466,1.921686
-29.95,-68.5,89.53699,145.5859,1.6849567
-29.95,-68.44999999999999,89.42845,146.01242,1.4130138
-29.95,-68.39999999999998,89.33996,145.77034,1.10559
-29.95,-68.35000000000002,89.27474,144.08807,0.7634522
-29.95,-68.30000000000001,89.235985,136.9004,0.39111435
-29.95,-68.25,89.22673,44.17651,0.115008
-29.95,-68.19999999999999,89.249855,346.81528,0.4966972
-29.95,-68.14999999999998,89.308044,341.1349,0.9668366
-29.95,-68.10000000000002,89.403694,339.3598,1.4669442
-29.95,-68.05000000000001,89.53891,338.61154,1.9899765
-29.95,-68.0,89.71536,338.2584,2.5302446
-29.9,-72.55000000000001,7.9799585,4.8771353,5.466865
-29.9,-72.5,8.460432,4.958803,5.977825
-29.9,-72.44999999999999,8.985437,5.0497003,6.5202823
-29.9,-72.39999999999998,9.55776,5.1470666,7.0954814
-29.9,-72.35000000000002,10.180345,5.24842,7.70524
-29.9,-72.30000000000001,10.856342,5.3515315,8.351816
-29.9,-72.25,11.589159,5.4544377,9.037705
-29.9,-72.19999999999999,12.382463,5.5554657,9.765369
-29.9,-72.14999999999998,13.240195,5.653268,10.5369005
-29.9,-72.10000000000002,14.166522,5.74685,11.353651
-29.9,-72.05000000000001,15.165782,5.835586,12.215845
-29.9,-72.0,16.242376,5.9192114,13.122207
-29.9,-71.94999999999999,17.400648,5.9977884,14.069636
-29.9,-71.89999999999998,18.644703,6.0716596,15.052982
-29.9,-71.85000000000002,19.978241,6.14138,16.064922
-29.9,-71.80000000000001,21.40434,6.207649,17.095993
-29.9,-71.75,22.925257,6.271243,18.134771
-29.9,-71.69999999999999,24.542213,6.3329535,19.168198
-29.9,-71.64999999999998,26.255232,6.3935475,20.182026
-29.9,-71.60000000000002,28.062958,6.453736,21.161348
-29.9,-71.55000000000001,29.962566,6.5141616,22.091175
-29.9,-71.5,31.949688,6.5754046,22.95699
-29.9,-71.44999999999999,34.0184,6.637996,23.74525
-29.9,-71.39999999999998,36.161274,6.7024503,24.443834
-29.9,-71.35000000000002,38.369488,6.7693014,25.04233
-29.9,-71.30000000000001,40.632977,6.839154,25.53227
-29.9,-71.25,42.940636,6.912737,25.907227
-29.9,-71.19999999999999,45.28056,6.9909716,26.162844
-29.9,-71.14999999999998,47.640312,7.075037,26.296791
-29.9,-71.10000000000002,50.00718,7.1664495,26.30866
-29.9,-71.05000000000001,52.36845,7.2671437,26.199854
-29.9,-71.0,54.711693,7.379558,25.973425
-29.9,-70.94999999999999,57.02495,7.506723,25.633932
-29.9,-70.89999999999998,59.29698,7.6523514,25.187265
-29.9,-70.85000000000002,61.517414,7.820927,24.640491
-29.9,-70.80000000000001,63.67687,8.017789,24.00168
-29.9,-70.75,65.76706,8.249211,23.279743
-29.9,-70.69999999999999,67.78084,8.522475,22.484266
